category,question,answer
میز خدمت و پذیرش,شرکت‌های غیردانش‌بنیان از چه خدماتی می‌توانند استفاده کنند؟,پاسخ: صندوق نوآوری و شکوفایی بر اساس اسناد بالادستی به صورت مستقیم صرفاً امکان ارائه خدمات به شرکت‌های دانش‌بنیان را دارد. حمایت از شرکت‌های غیردانش‌بنیان (از جمله شرکت‌های فناور، خلاق و ...) از مسیرهای زیر امکان‌پذیر است: 1. دریافت خدمات از صندوق‌های پژوهش و فناوری (لیست صندوق‌های پژوهش و فناوری در سایت www.rtfunds.ir ) 2. استفاده از مدل هم‌سرمایه‌گذاری صندوق نوآوری (مشارکت غیر مستقیم) از طریق صندوق‌های پژوهش و فناوری دانش‌بنیان 3‌ استفاده از خدمت فروش اقساطی (لیزینگ / استصناع ی اسفارش ساخت) به عنوان خریدار محصول دانش‌بنیان 4. حضور رایگان در رویدادهای تبادل فناوری که توسط صندوق نوآوری برگزار می‌شود.
میز خدمت و پذیرش,سقف میزان تسهیلات برای شرکت‌های دانش‌بنیان بر چه اساسی تعیین می‌شود؟,"پاسخ: میزان تسهیلات قابل ارائه به شرکت‌های دانش‌بنیان بر اساس طرح پیشنهادی, ظرفیت فنی, بازار، اقتصادی و مالی-اعتباری شرکت‌ها تعیین می‌گردد و نوع دانش‌بنیانی شرکت محدودیتی را ایجاد نمی‌کند."
میز خدمت و پذیرش,شركت دانش بنيان به چه شركتی گفته می شود؟,پاسخ: شرکت‌هایی که توسط کارگروه ارزیابی و تشخیص صلاحیت شرکت‌های دانش‌بنیان معاونت علمی و فناوری ریاست جمهوری ارزیابی و بر اساس «آئين‌نامه تشخيص شركت‌ها و موسسات دانش‌بنيان»، شاخص‌های عمومی و اختصاصی آئین نامه را احراز نمايند. استقرار شرکت در پارک‌های علم و فناوری یا مراکز رشد به معنی دانش‌بنیان بودن شرکت نیست.
میز خدمت و پذیرش,چه شرکت‌هایی امکان استفاده از خدمات و حمایت‌های صندوق را دارند؟,پاسخ: تمامی شرکت‌های دانش‌بنیان مورد تأیید کارگروه ارزیابی و تشخیص صلاحیت شرکت‌ها و موسسات دانش‌بنیان معاونت علمی و فناوری ریاست جمهوری (مندرج در pub.daneshbonyan.ir ) امکان استفاده از خدمات و حمایت‌های صندوق را دارند.
میز خدمت و پذیرش,شرکت‌های دانش‌بنیان از چه خدمات و حمایت‌هایی توسط صندوق نوآوری و شکوفایی بهره‌مند می‌شود؟,پاسخ: خدمات و حمایت‌های صندوق در چهار دسته اصلی «تسهیلات»، «ضمانت‌نامه»، «سرمایه‌گذاری» و «توانمندسازی (بلاعوض)» قابل ارائه به شرکت‌های دانش‌بنیان می‌باشد. جزئیات، انواع و شرایط استفاده از حمایت‌های صندوق در بخش «خدمات» سایت موجود است.
میز خدمت و پذیرش,آیا در ارائه خدمات تفاوتی بین انواع شرکت‌های دانش‌بنیان (نوپا، تولیدی، نوع 1، نوع 2) وجود دارد؟,پاسخ: خیر، تفاوتی بین انواع شرکت‌های دانش‌بنیان (نوپا، تولیدی، نوع 1، نوع 2) جهت بهره‌مندی از خدمات صندوق وجود ندارد.
میز خدمت و پذیرش,آيا حضور اعضای هيأت علمی در شرکت‌های دانش‌بنيان و داشتن سهام در آنها ضروری است؟ سهامداری دانشگاه‌ها در اين شرکت‌ها ضروری است؟,پاسخ: خیر ضروری نيست و شرکت‌های فاقد اعضای هيأت علمی نيز می‌توانند بر مبنای معيارهای ارزيابی شرکت‌های دانش‌بنيان، مشمول استفاده از حمايت‌های قانون شوند.
میز خدمت و پذیرش,هدف از تشکیل جلسه میز پذیرش چیست؟,پاسخ: هدف معرفی کامل خدمات و تسهیلات صندوق و ارائه راهنمایی و مشاوره به شرکت‌های دانش‌بنیان جهت انتخاب مناسب خدمات و تسهیلات، متناسب با وضعیت طرح پیشنهادی و ظرفیت شرکت است.
میز خدمت و پذیرش,نحوه استفاده از خدمات صندوق به چه صورت است؟ نیاز به مراجعه حضوری به صندوق است؟,پاسخ: ثبت درخواست جهت استفاده از خدمات صندوق از طریق سامانه غزال صندوق انجام می‌شود و نیازی به مراجعه حضوری به صندوق نیست.
میز خدمت و پذیرش,چه افرادی لازم است ازطرف شرکت‌های دانش‌بنیان در جلسه پذیرش حضور یابند؟,پاسخ: حضور افراد مرتبط و تصمیم‌گیر از جمله مدیر عامل و اعضای هیئت مدیره، مدیر مالی همراه با اطلاعات مالی شرکت موجب جمع‌بندی و ارائه پیشنهاد دقیق‌تر در خصوص خدمات قابل استفاده به شرکت می‌شود.
میز خدمت و پذیرش,نحوه هماهنگی و حضور در جلسه میز پذیرش به چه صورت است؟,پاسخ: با تماس با میز پذیرش صندوق به شماره 02142170611 هماهنگی جهت برگزاری جلسه میز پذیرش انجام می‌شود.
میز خدمت و پذیرش,آیا ارائه مستندات صورت‌های مالی، اظهارنامه مالیاتی، طرح توجیهی و سایر اسناد مالی در جلسه میز پذیرش اجباری می‌باشد؟,پاسخ: خیر، الزامی نیست. با این حال در صورتی که شرکت هر یک از اسناد مذکور را در جلسه میز پذیرش به همراه داشته باشد، به ارائه راهکارهای بهتر و پیشنهاد مناسب‌تر تسهیلات و خدمات صندوق، کمک می‌کند.
میز خدمت و پذیرش,آیا نوع شخصیت حقوقی شرکت (سهامی خاص، سهامی عام، مسئولیت محدود) تاثیری در ارزیابی خواهد داشت؟,پاسخ: خیر، نوع شخصیت حقوقی شرکت دانش‌بنیان تاثیری در روند ارزیابی نخواهد داشت.
میز خدمت و پذیرش,آيا ثبت درخواست، ارزيابی، دریافت خدمات و ... از صندوق نوآوری برای شرکت‌ها، مستلزم پرداخت هزينه است؟,پاسخ: خیر، فرایندهای ارزیابی، پرداخت و نظارت صندوق (یه غیر از کارمزد یا بهره تسهیلات) فاقد هزینه برای شرکت‌ها است.
میز خدمت و پذیرش,آیا حضور در جلسات میز پذیرش برای شرکت‌های متقاضی تسهیلات، اجباری است؟,پاسخ: خیر، شرکت‌ها در صورت تمایل و جهت آشنایی با کلیه خدمات و استفاده حداکثری از حمایت‌های صندوق در جلسات پذیرش حضور می‌یابند.
میز خدمت و پذیرش,آیا جهت برگزاری و حضور در جلسه میز پذیرش نیاز به مراجعه به تهران و محل صندوق است؟,پاسخ: خیر، برگزاری جلسات پذیرش به صورت حضوری، وبیناری و آنلاین و یا راهنمایی تلفنی امکان‌پذیر است.
میز خدمت و پذیرش,آیا حضور در میز پذیرش تعهدی برای صندوق در ایجاد حمایت یا اعطای تسهیلات ایجاد می کند؟,پاسخ: خیر، جمع‌بندی‌های ارائه شده در میز پذیرش در راستای راهنمایی و مشاوره به شرکت‌ها پیشنهاد می‌شود و ارائه خدمات منوط به ثبت درخواست، تکمیل اطلاعات در سامانه غزال، ارزیابی و تصویب می‌باشد.
میز خدمت و پذیرش,آیا جلسات میز پذیرش در صورت نیاز و به درخواست شرکت ها امکان تکرار دارد؟,پاسخ: بله، در صورت نیاز امکان برگزاری مجدد جلسه وجود دارد.
